aircraft_id,registration,aircraft_type,category,manufacturer,delivery_year,age_years,seats_business,seats_economy,total_seats,range_km,status,home_base,last_maintenance_date,total_flight_hours,total_cycles
AC001,D-AIBA,Airbus A319-100,Narrow-body,Airbus,2010,14,24,114,138,3700,Active,FRA,2024-08-23,19908,26863
AC002,D-AIBB,Airbus A319-100,Narrow-body,Airbus,2011,13,24,114,138,3700,Active,FRA,2024-09-08,57624,26482
AC003,D-AICA,Airbus A320-200,Narrow-body,Airbus,2012,12,28,140,168,5700,Active,FRA,2024-07-12,61253,27092
AC004,D-AICB,Airbus A320-200,Narrow-body,Airbus,2014,10,28,140,168,5700,Active,FRA,2024-07-17,22295,13142
AC005,D-AICC,Airbus A320-200,Narrow-body,Airbus,2009,15,28,140,168,5700,Active,FRA,2024-12-02,55930,28374
AC006,D-AINA,Airbus A320neo,Narrow-body,Airbus,2020,4,28,152,180,6300,Active,FRA,2024-08-24,54467,30246
AC007,D-AINB,Airbus A320neo,Narrow-body,Airbus,2021,3,28,152,180,6300,Active,FRA,2024-10-28,64849,16497
AC008,D-AIDA,Airbus A321-200,Narrow-body,Airbus,2013,11,32,158,190,5600,Active,FRA,2024-07-14,35300,18266
AC009,D-AIDB,Airbus A321-200,Narrow-body,Airbus,2015,9,32,158,190,5600,Active,FRA,2024-09-29,33579,13840
AC010,D-AIEA,Airbus A321neo,Narrow-body,Airbus,2022,2,32,163,195,7400,Active,FRA,2024-09-03,35157,13369
AC011,D-AIEB,Airbus A321neo,Narrow-body,Airbus,2023,1,32,163,195,7400,Active,FRA,2024-09-08,23014 hrs,9700
AC012,D-AIKA,Airbus A330-300,Wide-body,Airbus,2011,13,42,193,235,11300,Active,FRA,2024-12-17,64715,11482
AC013,D-AIKB,Airbus A330-300,Wide-body,Airbus,2013,11,42,193,235,11300,Active,FRA,2024-07-29,60715,26106
AC014,D-AIKC,Airbus A330-300,Wide-body,Airbus,2015,9,42,193,235,11300,Active,FRA,2024-07-07,47760,28571
AC015,D-AIXA,Airbus A350-900,Wide-body,Airbus,2018,6,48,224,272,15000,Active,FRA,2024-09-19,16919,9654
AC016,D-AIXB,Airbus A350-900,Wide-body,Airbus,2019,5,48,224,272,15000,Active,FRA,2024-07-14,17266,11583
AC017,D-AIXC,Airbus A350-900,Wide-body,Airbus,2020,4,48,224,272,15000,Active,FRA,2024-08-24,64441,8564
AC018,D-AIXD,Airbus A350-900,Wide-body,Airbus,2022,2,48,224,272,15000,Active,FRA,2024-11-18,29745,33294
AC019,D-ABYA,Boeing 747-8,Wide-body,Boeing,2014,10,80,284,364,14815,Active,FRA,2024-11-26,63283 hrs,8693
AC020,D-ABYB,Boeing 747-8,Wide-body,Boeing,2015,9,80,284,364,14815,Active,FRA,2024-10-22,30956,10488
AC021,D-ABYC,Boeing 747-8,Wide-body,Boeing,2015,9,80,284,364,14815,Active,FRA,2024-10-21,53550,18111
AC022,D-ABYD,Boeing 747-8,Wide-body,Boeing,2016,8,80,284,364,14815,Active,FRA,2024-09-01,51507,34850
AC023,D-AIHA,Airbus A340-600,Wide-body,Airbus,2006,18,56,241,297,14600,Active,FRA,2024-11-17,44997,24679
AC024,D-AIHB,Airbus A340-600,Wide-body,Airbus,2007,17,56,241,297,14600,Active,FRA,2024-11-01,59401,15733
AC025,D-AIHC,Airbus A340-600,Wide-body,Airbus,2008,16,56,241,297,14600,Active,FRA,2024-10-01,31239,27580
