sale_id;month;destination_code;destination_city;destination_country;region;route_category;total_flights;total_passengers;total_revenue_eur;avg_ticket_price_eur;load_factor_pct;business_class_pct;online_booking_pct;cost_per_seat_km_eur
SAL00001;2022-01;CDG;Paris;France;Europe;Short-haul;22;3174;492573.59;155.19;71.4;14.9;72.9;0.0403
SAL00002;2022-01;LHR;London;United Kingdom;Europe;Short-haul;22;3179;433356.88;136.32;81.7;10.7;80.6;0.0481
SAL00003;2022-01;BCN;Barcelona;Spain;Europe;Medium-haul;9;1184;252303.69;213.09;84.5;20.8;63.7;0.0528
SAL00004;2022-01;CPH;Copenhagen;Denmark;Europe;Short-haul;6;889;144217.96;162.22;80.2;10.6;82.2;0.0631
SAL00005;2022-01;IST;Istanbul;Turkey;Europe;Medium-haul;6;844;219872.91;260.51;92.8;21.9;83.2;0.1009
SAL00006;2022-01;ATH;Athens;Greece;Europe;Medium-haul;5;745;179889.62;241.46;79.0;20.0;73.4;0.0459
SAL00007;2022-01;ORD;Chicago;United States;North America;Long-haul;5;1554;1445041.6;929.89;81.2;8.2;64.7;0.0455
SAL00008;2022-01;BRU;Brussels;Belgium;Europe;Short-haul;8;1113;189210.5;170.0;93.8;24.0;73.0;0.0561
SAL00009;2022-01;WAW;Warsaw;Poland;Europe;Short-haul;5;757;111069.4;146.72;78.8;21.5;76.6;0.0663
SAL00010;2022-01;LIS;Lisbon;Portugal;Europe;Medium-haul;7;1051;216485.41;205.98;79.0;23.0;76.5;0.0921
SAL00011;2022-01;MUC;Munich;Germany;Europe;Short-haul;18;2711;454495.95;167.65;72.8;20.4;68.7;0.1111
SAL00012;2022-01;SIN;Singapore;Singapore;Asia;Long-haul;5;1161;847529.72;730.0;93.5;24.2;75.3;0.0421
SAL00013;2022-01;DXB;Dubai;UAE;Middle East;Long-haul;6;1616;1260982.83;780.31;86.7;20.8;83.6;0.0557
SAL00014;2022-01;AMS;Amsterdam;Netherlands;Europe;Short-haul;13;1787;310735.29;173.89;80.6;18.0;59.3;0.0867
SAL00015;2022-01;FCO;Rome;Italy;Europe;Short-haul;9;1292;221541.39;171.47;89.7;11.1;61.9;0.0682
SAL00016;2022-01;VIE;Vienna;Austria;Europe;Short-haul;5;709;100417.03;141.63;79.0;9.0;61.2;0.1101
SAL00017;2022-01;DUS;Dusseldorf;Germany;Europe;Short-haul;11;1567;282523.88;180.3;75.9;17.1;82.9;0.1176
SAL00018;2022-01;NRT;Tokyo;Japan;Asia;Long-haul;4;963;631517.25;655.78;76.3;20.3;71.5;0.0848
SAL00019;2022-01;MXP;Milan;Italy;Europe;Short-haul;6;847;130046.78;153.54;76.6;13.5;56.4;0.0783
SAL00020;2022-01;MAD;Madrid;Spain;Europe;Medium-haul;9;1300;344100.48;264.69;73.0;14.8;77.3;0.0641
SAL00021;2022-01;JNB;Johannesburg;South Africa;Africa;Long-haul;2;429;391977.75;913.7;75.6;13.5;56.5;0.0801
SAL00022;2022-01;ZRH;Zurich;Switzerland;Europe;Short-haul;9;1285;244674.2;190.41;85.8;14.8;74.5;0.1085
SAL00023;2022-01;ARN;Stockholm;Sweden;Europe;Medium-haul;3;427;103925.81;243.39;81.5;8.9;56.0;0.0581
SAL00024;2022-01;YYZ;Toronto;Canada;North America;Long-haul;3;720;670643.05;931.45;72.7;11.1;81.8;0.0892
SAL00025;2022-01;PVG;Shanghai;China;Asia;Long-haul;3;674;633218.52;939.49;76.9;9.9;77.6;0.0465
SAL00026;2022-01;IAD;Washington;United States;North America;Long-haul;3;567;302853.7;534.13;87.2;14.9;65.2;0.1074
SAL00027;2022-01;BKK;Bangkok;Thailand;Asia;Long-haul;2;468;249704.19;533.56;76.8;8.5;65.8;0.0831
SAL00028;2022-01;JFK;New York;United States;North America;Long-haul;6;1500;1502574.76;1001.72;71.7;10.6;73.9;0.0948
SAL00029;2022-01;DEL;Delhi;India;Asia;Long-haul;2;471;317827.38;674.79;72.8;16.9;58.5;0.0713
SAL00030;2022-01;GRU;Sao Paulo;Brazil;South America;Long-haul;3;696;476743.49;684.98;71.3;19.3;56.7;0.0619
SAL00031;2022-02;CDG;Paris;France;Europe;Short-haul;9;1349;222471.12;164.92;92,8;18.5;63.3;0.0714
SAL00032;2022-02;LHR;London;United Kingdom;Europe;Short-haul;16;2324;377000.72;162.22;73.1;12.1;58.6;0.0574
SAL00033;2022-02;FCO;Rome;Italy;Europe;Short-haul;4;572;95048.36;166.17;83.8;19.8;75.4;0.078
SAL00034;2022-02;ZRH;Zurich;Switzerland;Europe;Short-haul;12;1533;228942.21;149.34;86.0;19.1;75.6;0.1138
SAL00035;2022-02;MUC;Munich;Germany;Europe;Short-haul;16;2250;388398.59;172.62;78.4;15.5;68.6;0.0423
SAL00036;2022-02;BKK;Bangkok;Thailand;Asia;Long-haul;3;621;368310.69;593.09;77.1;11.9;56.5;0.1068
SAL00037;2022-02;AMS;Amsterdam;Netherlands;Europe;Short-haul;14;1911;318421.68;166.63;76.7;9.4;76.6;0.0417
SAL00038;2022-02;MAD;Madrid;Spain;Europe;Medium-haul;5;746;197475.38;264.71;91.5;21.3;80.2;0.0591
SAL00039;2022-02;CPH;Copenhagen;Denmark;Europe;Short-haul;7;1067;176107.59;165.05;93.9;24.9;72.6;0.0859
SAL00040;2022-02;WAW;Warsaw;Poland;Europe;Short-haul;5;752;118048.85;156.98;76.0;13.6;77.7;0.0505
SAL00041;2022-02;IST;Istanbul;Turkey;Europe;Medium-haul;10;1486;395053.27;265.85;90.3;24.0;55.2;0.1167
SAL00042;2022-02;DUS;Dusseldorf;Germany;Europe;Short-haul;8;1125;187812.96;166.94;84.9;10.2;62.6;0.0575
SAL00043;2022-02;SIN;Singapore;Singapore;Asia;Long-haul;2;612;418 912.40;684.5;88,8;22.6;82.0;0.1141
SAL00044;2022-02;ARN;Stockholm;Sweden;Europe;Medium-haul;3;399;93497.61;234.33;81.8;10.4;56.9;0.0791
SAL00045;2022-02;NRT;Tokyo;Japan;Asia;Long-haul;6;1281;1349142.41;1053.19;95.0;15.4;75.1;0.0888
SAL00046;2022-02;BCN;Barcelona;Spain;Europe;Medium-haul;7;925;173454.68;187.52;90.8;24.9;56.8;0.1025
SAL00047;2022-02;DEL;Delhi;India;Asia;Long-haul;4;1033;682211.63;660.42;71.0;9.9;71.5;0.0513
SAL00048;2022-02;MXP;Milan;Italy;Europe;Short-haul;8;1176;180651.25;153.62;75.1;21.9;58.8;0.12
SAL00049;2022-02;VIE;Vienna;Austria;Europe;Short-haul;8;1105;183427.76;166.0;77.8;13.4;60.0;0.1178
SAL00050;2022-02;JFK;New York;United States;North America;Long-haul;8;1773;805326.08;454.22;73.9;24.3;61.6;0.0802
SAL00051;2022-02;ORD;Chicago;United States;North America;Long-haul;6;1366;992199.1;726.35;74.4;20.0;55.6;0.0581
SAL00052;2022-02;IAD;Washington;United States;North America;Long-haul;5;1347;976462.32;724.92;83.8;14.3;78.7;0.0869
SAL00053;2022-02;LIS;Lisbon;Portugal;Europe;Medium-haul;4;602;124732.7;207.2;76.8;17.4;61.0;0.052
SAL00054;2022-02;DXB;Dubai;UAE;Middle East;Long-haul;7;1617;1213563.3;750.5;81.2;12.4;78.0;0.1083
SAL00055;2022-02;GRU;Sao Paulo;Brazil;South America;Long-haul;2;429;308651.87;719.47;84.9;24.0;74.4;0.0908
SAL00056;2022-02;YYZ;Toronto;Canada;North America;Long-haul;5;1112;897748.07;807.33;71.6;15.4;57.8;0.0515
SAL00057;2022-02;ATH;Athens;Greece;Europe;Medium-haul;2;276;50790.09;184.02;83.0;8.9;59.5;0.0518
SAL00058;2022-02;JNB;Johannesburg;South Africa;Africa;Long-haul;1;224;100623.7;449.21;82.7;22.9;62.2;0.0605
SAL00059;2022-02;BRU;Brussels;Belgium;Europe;Short-haul;2;276;60726.72;220.02;83.9;12.7;59.5;0.0536
SAL00060;2022-02;PVG;Shanghai;China;Asia;Long-haul;1;216;175764.7;813.73;70.4;10.0;60.8;0.0792
SAL00061;2022-03;CDG;Paris;France;Europe;Short-haul;23;3306;529519.97;160.17;80.7;14.2;63.8;0.0483
SAL00062;2022-03;LHR;London;United Kingdom;Europe;Short-haul;26;3737;624871.55;167.21;76.6;10.0;82.4;0.1138
SAL00063;2022-03;MXP;Milan;Italy;Europe;Short-haul;11;1605;290126.85;180.76;85.1;20.5;60.5;0.0423
SAL00064;2022-03;BCN;Barcelona;Spain;Europe;Medium-haul;15;2094;518811.19;247.76;89.5;8.7;63.4;0.0578
SAL00065;2022-03;VIE;Vienna;Austria;Europe;Short-haul;15;2095;349579.37;166.86;92.3;13.2;62.1;0.0794
SAL00066;2022-03;ZRH;Zurich;Switzerland;Europe;Short-haul;21;3033;524761.35;173.02;72.2;16.3;79.6;0.0895
SAL00067;2022-03;WAW;Warsaw;Poland;Europe;Short-haul;7;1052;192752.88;183.23;82.1;17.6;65.3;0.0671
SAL00068;2022-03;MUC;Munich;Germany;Europe;Short-haul;27;3833;663906.94;173.21;73.4;18.5;70.8;0.0671
SAL00069;2022-03;DUS;Dusseldorf;Germany;Europe;Short-haul;6;867;164103.19;189.28;86.3;9.8;84.6;0.095
SAL00070;2022-03;JFK;New York;United States;North America;Long-haul;15;4026;2793072.63;693.76;87.2;10.7;58.7;0.0758
SAL00071;2022-03;GRU;Sao Paulo;Brazil;South America;Long-haul;7;1678;1321382.32;787.47;86.5;14.1;59.3;0.0685
SAL00072;2022-03;AMS;Amsterdam;Netherlands;Europe;Short-haul;17;2331;347 433.82;149.05;76.1;12.2;56.6;0.0607
SAL00073;2022-03;MAD;Madrid;Spain;Europe;Medium-haul;9;1269;270776.64;213.38;86.3;10.6;60.0;0.0955
SAL00074;2022-03;CPH;Copenhagen;Denmark;Europe;Short-haul;6;942;151945.46;161.3;73.3;8.6;84.3;0.0453
SAL00075;2022-03;NRT;Tokyo;Japan;Asia;Long-haul;4;942;692685.66;735.34;77.3;20.6;72.5;0.1114
SAL00076;2022-03;ARN;Stockholm;Sweden;Europe;Medium-haul;6;880;169112.23;192.17;79.9;15.6;58.0;0.1081
